Stoller Wholesale,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,"Product Location Report  WAREHOUSE
All Items Sorted by Item Number",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"QOH
Case/Bot",,
Item Nmbr,,Item Description,,,,Size,,BPC,,FF,,WH1,,WH2,,WH3,,BOT,,,QOO
,,,,,,,,,,,,,,,,,,,,,
229020040,,"1519 100$ AGAVE BLANCO ""D""",,,,750M,,12,,,,46-45-2,,41-11-2,,,,15-21-1,0 / 1,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
229030040,,"1519 100% AGAVE REPOSADO""D""",,,,750M,,12,,04-71-2,,,,,,,,15-13-1,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
176099241,,1519 100% ORGANIC ANEJO,,,,750ML,,6,,,,41-08-2,,43-27-1,,,,11-83-2,4 / 3,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
176099041,,1519 100% ORGANIC BLANCO,,,,750ML,,6,,,,41-11-2,,,,,,12-43-2,8 / 4,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
176099141,,1519 100% ORGANIC REPOSADO,,,,750ML,,6,,,,41-09-2,,,,,,13-67-3,6 / 2,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
347010063,,1906 RESERVA ESPECIAL,,,,11.2oz,,24,,,,44-58-1,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
117001064,,1906 RESERVA ESPECIAL 11.15OZ,,,,11.15,,24,,06-45-2,,44-51-1,,,,47-46-1,,13-37-4,91 / 18,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
215006040,,21 EXCELLENT HONEY VODKA,,,,750M,,12,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
512010041,,2NITE VODKA 80PF,,,,750M,,6,,04-52-1,,45-34-2,,46-05-3,,45-33-4,,12-63-2,119 / 4,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
512010031,,2NITE VODKA 80PF,,,,1 LTR,,6,,07-07-1,,46-13-2,,,,,,13-78-5,15 / 2,,10.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
512011541,,2NITE VODKA BLOOD ORANGE,,,,750M,,6,,04-04-1,,04-02-5,,04-04-6,,,,15-84-4,129 / 2,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
512011531,,2NITE VODKA BLOOD ORANGE,,,,1 LTR,,6,,07-04-1,,,,,,,,14-27-3,6 / 2,,10.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
512012031,,2NITE VODKA CAFE ESPRESSO,,,,1 LTR,,6,,07-06-1,,,,,,,,11-60-3,22 / 1,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
512012041,,2NITE VODKA CAFÉ ESPRESSO,,,,750M,,6,,,,44-35-2,,,,,,14-61-4,12 / 5,,10.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
512013031,,2NITE VODKA MINT,,,,1 LTR,,6,,07-03-1,,,,,,,,11-56-3,10 / 5,,10.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
512013041,,2NITE VODKA MINT,,,,750M,,6,,,,44-34-2,,46-16-2,,,,15-61-4,14 / 1,,10.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
480500040,,3 RINGS SHIRAZ O,,,,750M,,12,,,,40-41-4,,,,,,15-14-2,3 / 8,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
471005040,,3 TREES PINOT NOIR 2006 D,,,,750M,,12,,,,,,43-20-1,,,,,1 / 5,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
420001597,,3 VODKA DISTILLED SOY CANDY CANE,,,,50 ML,,36,,,,,,,,,,,21 / 1,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
71001062,,33 EXPORT,,,,11.2z,,24,,04-21-1,,,,,,,,11-78-2,6 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592005030,,360 80PF VODKA,,,,1.0L,,12,,07-40-4,,,,,,,,15-21-3,36 / 5,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592005040,,360 80PF VODKA,,,,750ML,,12,,08-55-3,,39-58-3,,43-35-3,,41-20-5,,16-21-4,135 / 7,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592004920,,360 80PF VODKA,,,,1.75L,,6,,,,40-06-2,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592000830,,360 BING CHERRY VODKA,,,,1.0L,,12,,06-60-2,,42-52-3,,,,,,16-11-4,34 / 10,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592000840,,360 BING CHERRY VODKA,,,,750ML,,12,,07-26-2,,42-08-4,,,,,,16-21-2,50 / 1,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592001040,,360 BUTTER POPCORN VODKA,,,,750ML,,12,,08-48-4,,,,,,,,13-22-3,22 / 6,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592000940,,360 COLA VODKA,,,,750ML,,12,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592001820,,360 DOUBLE CHOCOLATE VODKA,,,,1.75L,,6,,07-38-2,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592001830,,360 DOUBLE CHOCOLATE VODKA,,,,1.0L,,12,,08-44-3,,46-36-4,,,,,,11-19-3,33 / 5,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
582001840,,360 DOUBLE CHOCOLATE VODKA,,,,750ML,,12,,06-65-2,,,,,,,,16-11-3,78 / 8,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592002020,,360 GEORGIA PEACH FLAV VODKA,,,,1.75L,,6,,07-25-4,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592002040,,360 GEORGIA PEACH FLAV VODKA,,,,750ML,,12,,06-53-4,,46-19-2,,46-19-5,,,,15-22-3,53 / 4,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592002030,,360 GEORGIA PEACH FLAV VODKA,,,,1.0L,,12,,06-31-1,,47-17-4,,,,,,14-22-3,37 / 2,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592001430,,360 GLAZED DONUT FLAV VODKA,,,,1.0L,,12,,,,,,,,,,12-20-3,7 / 8,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592001440,,360 GLAZED DONUT VODKA,,,,750ML,,12,,08-04-3,,46-18-2,,,,,,13-24-3,26 / 8,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592001530,,360 GRAPE FLAV VODKA,,,,1.0L,,12,,07-42-4,,,,,,,,12-66-2,15 / 7,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
592001540,,360 GRAPE VODKA,,,,750ML,,12,,07-54-3,,46-18-2,,,,41-38-2,,16-19-3,30 / 4,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
